date,ed.cases,bos.cases
2021-03-02,198,204
2021-03-03,188,207
2021-03-04,174,201
2021-03-05,163,144
2021-03-06,171,88
2021-03-07,147,84
2021-03-08,154,208
2021-03-09,196,175
2021-03-10,172,171
2021-03-11,163,207
2021-03-12,158,136
2021-03-13,184,90
2021-03-14,146,67
2021-03-15,163,211
2021-03-16,191,208
2021-03-17,177,243
2021-03-18,166,210
2021-03-19,170,177
2021-03-20,163,95
2021-03-21,172,89
2021-03-22,130,295
2021-03-23,172,283
2021-03-24,173,300
2021-03-25,188,315
2021-03-26,193,244
2021-03-27,165,177
2021-03-28,164,117
2021-03-29,148,328
2021-03-30,190,327
2021-03-31,167,325
2021-04-01,183,276
2021-04-02,177,242
2021-04-03,167,124
2021-04-04,182,77
2021-04-05,164,342
2021-04-06,190,261
2021-04-07,178,271
2021-04-08,189,239
2021-04-09,179,175
2021-04-10,184,131
2021-04-11,159,97
2021-04-12,169,207
2021-04-13,189,185
2021-04-14,212,200
2021-04-15,176,164
2021-04-16,190,113
2021-04-17,163,75
2021-04-18,176,69
2021-04-19,157,150
2021-04-20,170,141
2021-04-21,182,125
2021-04-22,155,141
2021-04-23,161,133
2021-04-24,168,56
2021-04-25,137,59
2021-04-26,151,134
2021-04-27,207,143
2021-04-28,158,119
2021-04-29,165,75
2021-04-30,169,100
2021-05-01,166,51
2021-05-02,141,44
2021-05-03,143,104
2021-05-04,191,82
2021-05-05,175,93
2021-05-06,137,84
2021-05-07,174,64
2021-05-08,158,33
2021-05-09,132,27
2021-05-10,128,95
2021-05-11,210,64
2021-05-12,183,54
2021-05-13,172,58
2021-05-14,184,32
2021-05-15,170,29
2021-05-16,138,28
2021-05-17,168,53
2021-05-18,189,35
2021-05-19,183,37
2021-05-20,173,46
2021-05-21,172,30
2021-05-22,149,14
2021-05-23,148,11
2021-05-24,147,32
2021-05-25,177,27
2021-05-26,161,42
2021-05-27,163,29
2021-05-28,161,12
2021-05-29,136,10
2021-05-30,110,13
2021-05-31,129,4
2021-06-01,153,32
2021-06-02,157,27
2021-06-03,163,31
2021-06-04,151,30
2021-06-05,173,10
2021-06-06,135,8
2021-06-07,124,21
2021-06-08,174,19
2021-06-09,147,12
2021-06-10,152,16
2021-06-11,177,12
2021-06-12,141,14
2021-06-13,146,2
2021-06-14,161,9
2021-06-15,171,10
2021-06-16,145,8
2021-06-17,167,9
2021-06-18,155,7
2021-06-19,167,5
2021-06-20,142,2
2021-06-21,150,6
2021-06-22,165,8
2021-06-23,172,7
2021-06-24,146,14
2021-06-25,154,5
2021-06-26,159,5
2021-06-27,138,6
2021-06-28,125,16
2021-06-29,170,13
2021-06-30,155,10
2021-07-01,159,14
2021-07-02,183,5
2021-07-03,144,2
2021-07-04,139,1
2021-07-05,140,4
2021-07-06,169,19
2021-07-07,182,18
2021-07-08,160,26
2021-07-09,147,22
2021-07-10,164,17
2021-07-11,137,16
2021-07-12,119,46
2021-07-13,161,50
2021-07-14,172,50
2021-07-15,170,41
2021-07-16,151,53
2021-07-17,176,26
2021-07-18,158,20
2021-07-19,168,72
2021-07-20,193,70
2021-07-21,197,81
2021-07-22,163,91
2021-07-23,182,71
2021-07-24,154,44
2021-07-25,158,48
2021-07-26,164,84
2021-07-27,192,95
2021-07-28,194,106
2021-07-29,180,113
2021-07-30,162,99
2021-07-31,174,48
2021-08-01,162,77
2021-08-02,169,140
2021-08-03,182,167
2021-08-04,224,131
2021-08-05,167,141
2021-08-06,183,151
2021-08-07,184,65
2021-08-08,162,62
2021-08-09,179,130
2021-08-10,218,165
2021-08-11,219,144
2021-08-12,198,159
2021-08-13,194,103
2021-08-14,229,54
2021-08-15,198,70
2021-08-16,178,159
2021-08-17,213,190
2021-08-18,217,177
2021-08-19,224,153
2021-08-20,221,115
2021-08-21,210,79
2021-08-22,200,52
2021-08-23,203,176
2021-08-24,220,178
2021-08-25,220,182
2021-08-26,202,177
2021-08-27,234,160
2021-08-28,188,81
2021-08-29,165,70
2021-08-30,173,179
2021-08-31,213,186
2021-09-01,194,177
2021-09-02,195,181
2021-09-03,190,152
2021-09-04,184,91
2021-09-05,190,74
2021-09-06,205,70
2021-09-07,195,270
2021-09-08,229,268
2021-09-09,245,253
2021-09-10,221,202
2021-09-11,211,90
2021-09-12,180,75
2021-09-13,206,220
2021-09-14,243,199
2021-09-15,233,211
2021-09-16,228,162
2021-09-17,219,142
2021-09-18,225,69
2021-09-19,191,43
2021-09-20,186,182
2021-09-21,250,172
2021-09-22,235,150
2021-09-23,217,140
2021-09-24,220,106
2021-09-25,241,59
2021-09-26,192,67
2021-09-27,222,138
2021-09-28,269,129
2021-09-29,199,159
2021-09-30,254,106
2021-10-01,181,106
2021-10-02,228,45
2021-10-03,210,69
2021-10-04,215,153
2021-10-05,258,140
2021-10-06,220,137
2021-10-07,229,133
2021-10-08,228,101
2021-10-09,254,48
2021-10-10,190,57
2021-10-11,188,98
2021-10-12,225,135
2021-10-13,245,119
2021-10-14,230,135
2021-10-15,250,108
2021-10-16,205,40
2021-10-17,249,32
2021-10-18,216,116
2021-10-19,255,111
2021-10-20,168,93
2021-10-21,211,97
2021-10-22,194,84
2021-10-23,230,41
2021-10-24,178,41
2021-10-25,204,114
2021-10-26,197,100
2021-10-27,201,102
2021-10-28,199,120
2021-10-29,190,98
2021-10-30,201,48
2021-10-31,174,53
2021-11-01,178,122
2021-11-02,241,149
2021-11-03,194,172
2021-11-04,198,145
2021-11-05,220,119
2021-11-06,209,62
2021-11-07,206,51
2021-11-08,195,173
2021-11-09,232,166
2021-11-10,242,199
2021-11-11,202,151
2021-11-12,217,162
2021-11-13,194,87
2021-11-14,189,71
2021-11-15,185,234
2021-11-16,236,261
2021-11-17,229,234
2021-11-18,205,210
2021-11-19,219,219
2021-11-20,219,98
2021-11-21,206,99
2021-11-22,213,239
2021-11-23,251,261
2021-11-24,231,174
2021-11-25,213,19
2021-11-26,167,125
2021-11-27,227,118
2021-11-28,215,135
2021-11-29,251,429
2021-11-30,299,371
2021-12-01,264,423
2021-12-02,229,420
2021-12-03,228,375
2021-12-04,263,191
2021-12-05,228,121
2021-12-06,251,472
2021-12-07,288,398
2021-12-08,228,425
2021-12-09,257,365
2021-12-10,264,335
2021-12-11,256,174
2021-12-12,259,158
2021-12-13,214,571
2021-12-14,300,636
2021-12-15,283,761
2021-12-16,251,734
2021-12-17,264,646
2021-12-18,270,337
2021-12-19,254,321
2021-12-20,244,1252
2021-12-21,323,1402
2021-12-22,328,1559
2021-12-23,333,1120
2021-12-24,348,390
2021-12-25,379,145
2021-12-26,354,723
2021-12-27,490,2524
2021-12-28,543,2903
2021-12-29,579,3094
2021-12-30,626,2386
2021-12-31,663,810
2022-01-01,629,483
2022-01-02,563,1275
2022-01-03,612,4327
2022-01-04,670,3997
2022-01-05,628,3615
2022-01-06,566,3324
2022-01-07,483,1258
2022-01-08,424,1280
2022-01-09,481,1139
2022-01-10,422,3378
2022-01-11,517,1839
2022-01-12,429,1972
2022-01-13,448,1760
2022-01-14,447,1611
2022-01-15,418,727
2022-01-16,314,685
2022-01-17,320,919
2022-01-18,404,1952
2022-01-19,433,1363
2022-01-20,369,1124
2022-01-21,361,947
2022-01-22,333,409
2022-01-23,279,326
2022-01-24,268,1004
2022-01-25,344,832
2022-01-26,318,849
2022-01-27,296,571
2022-01-28,264,504
2022-01-29,230,34
2022-01-30,127,214
2022-01-31,161,610
2022-02-01,251,593
2022-02-02,251,470
2022-02-03,244,382
2022-02-04,232,241
2022-02-05,213,136
2022-02-06,177,126
2022-02-07,190,385
2022-02-08,225,372
2022-02-09,203,321
2022-02-10,213,265
2022-02-11,198,211
2022-02-12,184,111
2022-02-13,160,63
2022-02-14,168,308
2022-02-15,205,286
2022-02-16,191,329
2022-02-17,204,273
2022-02-18,184,188
2022-02-19,188,75
2022-02-20,168,52
2022-02-21,166,178
2022-02-22,185,274
2022-02-23,183,161
2022-02-24,197,171
2022-02-25,175,76
2022-02-26,123,66
2022-02-27,146,46
2022-02-28,176,175
2022-03-01,199,NA
2022-03-02,168,NA
